year;pWheat;pRye;pBarley;pOat;pOtherCereals;pRape;pPeas;pPotatoes;pVegGreenhouse;pVegFields;pApplesPeaches;pOtherFruits;pFlowers;pCowMilk;pGoatMilk;pBeef;pVeal;pPork;pSheepMeat;pPoultry;pEgg
1995;2.301356655;2.213836038;1.984097041;1.784725991;;;2.3754;1.642479281;12.82188596;3.590977595;4.456904838;14.1632085;6.26677748;3.100372596;4.670967742;30.64980221;29.38003221;23.11898442;25.41830947;17.60884294;10.57293611
1996;2.287082031;2.052575547;1.927610221;1.745881495;;;2.3754;1.528721363;14.22547302;3.634245239;5.385889571;15.72591241;6.438098132;3.174499656;4.767016807;30.23981572;30.71929825;22.12909656;26.01845547;16.66760216;10.04475008
1997;2.339407184;2.110108453;1.933214597;1.744337292;;;2.3754;1.439635911;13.97119683;4.031764577;5.83496693;16.38946136;5.85111483;3.170399663;4.66689673;30.85982178;28.77977978;20.37911317;23.27845628;15.82978532;10.70965172
1998;2.154092328;1.989998581;1.96266423;1.771451709;;;2.3754;1.59499814;14.28424942;4.38243989;6.004640175;17.90481678;5.368731148;3.297999708;3.942513962;30.33984596;29.44827586;21.78913137;24.71836962;15.2905855;10.72430459
1999;2.356778445;2.093347639;1.959172812;1.779650889;1.7802;;2.3754;1.605064743;14.49092887;4.354850083;8.110578279;17.27168265;5.528358481;3.178700124;3.050076082;27.25984838;23.01901639;19.80919908;27.90839362;15.81805738;11.06812703
2000;2.161023431;1.896218775;1.80181972;1.619649074;1.6202;;2.3754;1.673300745;16.02070222;4.585722654;7.590239953;20.25643564;5.656551242;3.31020003;3.094491545;25.99972846;29.36859104;18.35859415;29.93808247;15.41036411;10.13673461
2001;2.114117573;1.882602067;1.845433667;1.607746746;1.6077;;2.375366569;1.576524267;16.09884971;4.68885194;8.200211212;17.9779978;5.848466669;3.387100015;3.316701965;28.1296172;28.49719222;19.83928243;28.99791684;14.79773635;10.21754606
2002;2.245530198;2.033025687;1.860894185;1.653179092;1.6532;4.322524446;2.594782609;1.574416033;16.32189965;5.262917933;7.820183486;19.2964127;5.721996163;3.444399684;3.437675637;28.6895578;27.3767209;21.58934031;27.41761782;15.65442802;10.69971363
2003;2.235053752;2.081027009;1.84351989;1.617783997;1.6178;4.306042885;2.558681672;1.670472581;16.62229551;5.140827146;9.547901757;19.02993325;6.264262028;3.490200498;3.477098137;30.11950911;30.88633226;21.78935109;29.21696421;15.7207687;11.27361213
2004;2.09303716;1.919689823;1.7469157;1.524635678;1.5246;4.279480265;2.711735663;1.689642316;15.09830164;5.213501413;9.250143175;19.70501684;5.702161077;3.437400004;3.426590693;31.45954524;32.51642075;20.50951009;27.15735905;14.98236813;10.69469989
2005;2.04734375;1.820334302;1.727761163;1.51185827;1.5119;4.195243609;2.453012048;1.800111989;16.75971274;5.440987534;10.2186536;20.30311901;5.462879734;3.56160015;3.553498227;32.45959697;34.42670537;19.84957188;25.97731453;14.62874378;10.27340144
2006;2.010747337;1.882032598;1.747090253;1.569384176;1.5694;4.283117975;2.438316401;1.977614671;18.18113016;5.694607071;9.59073107;21.62397945;5.721024921;3.592299701;3.589041764;32.9896055;35.99669187;19.41962598;28.99734947;14.91353706;11.08495523
2007;2.076215812;1.858490566;1.773820604;1.623320402;1.6233;4.331127219;2.441510282;2.033252016;18.82933219;6.565618573;11.15425276;24.50498339;5.841032626;3.839100196;3.829392309;34.53958046;36.72666348;21.90970087;32.57738702;15.49179022;12.23729483
2008;2.131502128;1.972243899;1.970577069;1.819853757;1.8199;4.521394775;2.651882721;1.972137947;18.93210553;6.391948679;11.15626861;29.50100402;5.828516273;3.87440002;3.864609013;36.93965609;39.74008138;23.29969195;37.18749484;16.6427756;12.49382275
2009;2.295180241;2.072557393;2.119535048;1.962343707;1.9623;4.766741573;2.798741239;2.209764172;18.77674759;7.085893824;13.66583354;30.41003153;6.662152752;4.23380013;4.222339557;39.75968134;43.5564133;23.46975947;36.75744345;16.93898577;13.50650078
2010;2.310501838;2.102462852;2.066998152;1.86737702;1.8674;4.680177078;2.78546181;2.380810415;17.79108592;6.460865861;13.71494862;34.93614683;6.660747792;4.446500806;4.429122841;39.91965605;46.0067402;23.77979514;37.01755315;17.4923451;13.83899187
2011;2.388890076;2.166543711;2.216663053;1.990468865;1.9905;4.79694781;2.985424028;2.41872315;18.58397469;7.252882891;13.14528922;35.60714286;7.046665404;4.697399931;4.677600473;41.42969828;46.57727031;24.51978256;38.81747383;18.06833654;14.52198746
2012;2.625339783;2.406800492;2.298846957;2.078573168;2.0786;4.899160407;3.117150396;2.634724255;20.74188837;7.423141753;12.20960929;37.23119469;7.297128003;4.746299859;4.722115147;44.8196501;50.68752941;25.02978083;41.84737693;19.15643163;15.7788386
2013;2.778388679;2.723579164;2.47113503;2.237997149;2.238;5.021612635;3.438905181;2.72276009;20.81622113;7.608737466;13.79367848;38.24912624;7.148525715;4.797999826;4.777502026;47.31970905;52.94745621;24.07977418;45.78740124;19.86574305;14.97365575
2014;2.790131371;2.701307692;2.521897406;2.29845427;2.2985;5.180222222;3.42609533;2.60453353;21.17867688;7.629591411;13.88600289;37.51521604;7.466250512;5.199899884;5.180384477;48.53968877;52.8974359;24.92977282;47.83730993;20.39840754;14.96716275
2015;2.9102639;2.652465559;2.614965945;2.372244427;2.3722;5.273567251;3.5055;2.938421981;21.6104494;7.759396456;13.43066399;36.30916245;7.653134308;5.284799179;5.27290559;50.56970795;54.92712949;27.63977996;49.42746383;20.51719023;15.01377432
