year,cat_sub,cat_act,step,zone,rate
1999,TAKTL,230,1,1,320
1999,TAKTL,230,1,2,320
1999,TAKTL,230,1,3,320
1999,TAKTL,230,1,4,320
1999,TAKTL,230,1,5,320
1999,TAKTL,230,1,6,1049
1999,TAKTL,230,1,7,1359
1999,TAKTL,230,2,1,173
1999,TAKTL,230,2,2,173
1999,TAKTL,230,2,3,173
1999,TAKTL,230,2,4,173
1999,TAKTL,230,2,5,173
1999,TAKTL,230,2,6,73
1999,TAKTL,230,2,7,73
1999,TAKTL,CERE,1,1,194
1999,TAKTL,CERE,1,2,252
1999,TAKTL,CERE,1,3,252
1999,TAKTL,CERE,1,4,362
1999,TAKTL,CERE,1,5,362
1999,TAKTL,CERE,1,6,362
1999,TAKTL,CERE,1,7,362
1999,TAKTL,CERE,2,1,172
1999,TAKTL,CERE,2,2,172
1999,TAKTL,CERE,2,3,172
1999,TAKTL,CERE,2,4,172
1999,TAKTL,CERE,2,5,172
1999,TAKTL,CERE,2,6,172
1999,TAKTL,CERE,2,7,172
1999,TAKTL,FODD,1,1,360
1999,TAKTL,FODD,1,2,285
1999,TAKTL,FODD,1,3,402
1999,TAKTL,FODD,1,4,402
1999,TAKTL,FODD,1,5,505
1999,TAKTL,FODD,1,6,560
1999,TAKTL,FODD,1,7,610
1999,TAKTL,FODD,2,1,195
1999,TAKTL,FODD,2,2,172
1999,TAKTL,FODD,2,3,195
1999,TAKTL,FODD,2,4,195
1999,TAKTL,FODD,2,5,217
1999,TAKTL,FODD,2,6,232
1999,TAKTL,FODD,2,7,245
1999,TAKTL,FODD,3,1,130
1999,TAKTL,FODD,3,2,130
1999,TAKTL,FODD,3,3,130
1999,TAKTL,FODD,3,4,130
1999,TAKTL,FODD,3,5,130
1999,TAKTL,FODD,3,6,130
1999,TAKTL,FODD,3,7,130
1999,TAKTL,FRUK,1,1,599
1999,TAKTL,FRUK,1,2,599
1999,TAKTL,FRUK,1,3,599
1999,TAKTL,FRUK,1,4,629
1999,TAKTL,FRUK,1,5,629
1999,TAKTL,FRUK,1,6,1419
1999,TAKTL,FRUK,1,7,1419
1999,TAKTL,FRUK,2,1,200
1999,TAKTL,FRUK,2,2,200
1999,TAKTL,FRUK,2,3,200
1999,TAKTL,FRUK,2,4,200
1999,TAKTL,FRUK,2,5,200
1999,TAKTL,FRUK,2,6,200
1999,TAKTL,FRUK,2,7,200
1999,TAKTL,BAER,1,1,599
1999,TAKTL,BAER,1,2,599
1999,TAKTL,BAER,1,3,599
1999,TAKTL,BAER,1,4,629
1999,TAKTL,BAER,1,5,629
1999,TAKTL,BAER,1,6,1419
1999,TAKTL,BAER,1,7,1419
1999,TAKTL,BAER,2,1,200
1999,TAKTL,BAER,2,2,200
1999,TAKTL,BAER,2,3,200
1999,TAKTL,BAER,2,4,200
1999,TAKTL,BAER,2,5,200
1999,TAKTL,BAER,2,6,200
1999,TAKTL,BAER,2,7,200
1999,TAKTL,GRON,1,1,767
1999,TAKTL,GRON,1,2,767
1999,TAKTL,GRON,1,3,767
1999,TAKTL,GRON,1,4,914
1999,TAKTL,GRON,1,5,914
1999,TAKTL,GRON,1,6,1799
1999,TAKTL,GRON,1,7,1799
1999,TAKTL,GRON,2,1,301
1999,TAKTL,GRON,2,2,301
1999,TAKTL,GRON,2,3,301
1999,TAKTL,GRON,2,4,395
1999,TAKTL,GRON,2,5,395
1999,TAKTL,GRON,2,6,500
1999,TAKTL,GRON,2,7,500
1999,TAKTL,GRON,3,1,146
1999,TAKTL,GRON,3,2,146
1999,TAKTL,GRON,3,3,146
1999,TAKTL,GRON,3,4,270
1999,TAKTL,GRON,3,5,270
1999,TAKTL,GRON,3,6,400
1999,TAKTL,GRON,3,7,400
1999,TDISE,160,0,2,2.98594
1999,TDISE,160,0,3,2.98594
1999,TDISE,160,0,4,2.98594
1999,TDISK,136,0,3,69.308055
1999,TDISK,136,0,4,112.090805
1999,TDISK,136,0,5,208.77982
1999,TDISK,136,0,6,222.4703
1999,TDISK,157,0,4,24.91389
1999,TDISK,157,0,5,398.62224
1999,TDISK,157,0,6,398.62224
1999,TDISK,STOR,0,3,590.84802
1999,TDISK,STOR,0,4,955.56902
1999,TDISK,STOR,0,5,1488.06168
1999,TDISK,STOR,0,6,1619.36124
1999,TDISK,GEIT,0,3,60.43086
1999,TDISK,GEIT,0,4,97.73386
1999,TDISK,GEIT,0,5,152.19624
1999,TDISK,GEIT,0,6,165.62532
1999,TDISM,120,0,2,425.656712
1999,TDISM,120,0,3,1197.1595025
1999,TDISM,120,0,4,1676.0233035
1999,TDISM,120,0,5,2208.0941935
1999,TDISM,120,0,6,2899.7863505
1999,TDISM,120,0,7,4229.9635755
1999,TDISM,120,0,8,5347.3124445
1999,TDISM,120,0,9,7901.2527165
1999,TDISM,120,0,10,8380.1165175
1999,TDISM,140,0,2,33.830432
1999,TDISM,140,0,3,95.14809
1999,TDISM,140,0,4,133.207326
1999,TDISM,140,0,5,175.495366
1999,TDISM,140,0,6,230.469818
1999,TDISM,140,0,7,336.189918
1999,TDISM,140,0,8,424.994802
1999,TDISM,140,0,9,627.977394
1999,TDISM,140,0,10,666.03663
1999,TDMLK,120,1,1,11200
1999,TDMLK,120,1,2,13200
1999,TDMLK,140,1,1,2444
1999,TDMLK,140,1,2,2444
1999,TGRUN,120,0,0,271.3561539
1999,TGRUN,136,0,0,81.800618
1999,TGRUN,140,0,0,752.3042316
1999,TGRUN,STOR,0,0,404.110868
1999,TGRUN,GEIT,0,0,76.84418
1999,TPROD,120,1,1,3874
1999,TPROD,120,1,2,3874
1999,TPROD,120,1,3,3874
1999,TPROD,120,2,1,1550
1999,TPROD,120,2,2,1550
1999,TPROD,120,2,3,1550
1999,TPROD,120,3,1,1550
1999,TPROD,120,3,2,1550
1999,TPROD,120,3,3,1550
1999,TPROD,120,4,1,800
1999,TPROD,120,4,2,800
1999,TPROD,120,4,3,800
1999,TPROD,121,1,1,1800
1999,TPROD,121,1,2,1800
1999,TPROD,121,1,3,1800
1999,TPROD,121,2,1,1600
1999,TPROD,121,2,2,1600
1999,TPROD,121,2,3,1600
1999,TPROD,140,1,1,1026
1999,TPROD,140,1,2,1026
1999,TPROD,140,1,3,1026
1999,TPROD,140,2,1,526
1999,TPROD,140,2,2,526
1999,TPROD,140,2,3,526
1999,TPROD,140,3,1,276
1999,TPROD,140,3,2,276
1999,TPROD,140,3,3,276
1999,TPROD,142,1,1,580
1999,TPROD,142,1,2,580
1999,TPROD,142,1,3,580
1999,TPROD,142,2,1,350
1999,TPROD,142,2,2,350
1999,TPROD,142,2,3,350
1999,TPROD,142,3,1,190
1999,TPROD,142,3,2,190
1999,TPROD,142,3,3,190
1999,TPROD,142,4,1,76
1999,TPROD,142,4,2,76
1999,TPROD,142,4,3,76
1999,TPROD,155,1,1,770
1999,TPROD,155,1,2,770
