year,cat_sub,cat_act,step,cut
1999,TAKTL,230,1,60
1999,TAKTL,230,2,120
1999,TAKTL,230,3,Inf
1999,TAKTL,CERE,1,400
1999,TAKTL,CERE,2,Inf
1999,TAKTL,FODD,1,100
1999,TAKTL,FODD,2,250
1999,TAKTL,FODD,3,400
1999,TAKTL,FODD,4,Inf
1999,TAKTL,FRUK,1,30
1999,TAKTL,FRUK,2,60
1999,TAKTL,FRUK,3,Inf
1999,TAKTL,BAER,1,30
1999,TAKTL,BAER,2,60
1999,TAKTL,BAER,3,Inf
1999,TAKTL,GRON,1,30
1999,TAKTL,GRON,2,60
1999,TAKTL,GRON,3,Inf
1999,TDMLK,120,1,5
1999,TDMLK,120,2,Inf
1999,TDMLK,140,1,27
1999,TDMLK,140,2,Inf
1999,TPROD,120,1,8
1999,TPROD,120,2,16
1999,TPROD,120,3,25
1999,TPROD,120,4,40
1999,TPROD,120,5,Inf
1999,TPROD,121,1,25
1999,TPROD,121,2,100
1999,TPROD,121,3,Inf
1999,TPROD,140,1,40
1999,TPROD,140,2,125
1999,TPROD,140,3,200
1999,TPROD,140,4,Inf
1999,TPROD,142,1,50
1999,TPROD,142,2,100
1999,TPROD,142,3,250
1999,TPROD,142,4,400
1999,TPROD,142,5,Inf
1999,TPROD,155,1,25
1999,TPROD,155,2,Inf
1999,TPROD,157,1,250
1999,TPROD,157,2,Inf
1999,TPROD,160,1,1
1999,TPROD,160,2,Inf
1999,TPROD,STOR,1,25
1999,TPROD,STOR,2,140
1999,TPROD,STOR,3,200
1999,TPROD,STOR,4,Inf
1999,TPROD,SAU,1,50
1999,TPROD,SAU,2,100
1999,TPROD,SAU,3,250
1999,TPROD,SAU,4,400
1999,TPROD,SAU,5,Inf
1999,TUTMK,410,1,Inf
1999,TUTMK,420,1,Inf
1999,TUTMK,440,1,100
1999,TUTMK,440,2,Inf
1999,TUTMK,450,1,Inf
1999,TUTMK,USAU,1,100
1999,TUTMK,USAU,2,Inf
1999,TVELF,120,1,8
1999,TVELF,120,2,Inf
1999,TVELF,121,1,Inf
1999,TVELF,140,1,40
1999,TVELF,140,2,Inf
1999,TVELF,155,1,Inf
1999,TVELF,157,1,Inf
1999,TVELF,160,1,Inf
1999,TVELF,186,1,Inf
1999,TVELF,STOR,1,Inf
1999,TVELF,HEST,1,Inf
1999,TVELF,VSAU,1,Inf
2000,TAKTL,230,1,60
2000,TAKTL,230,2,120
2000,TAKTL,230,3,Inf
2000,TAKTL,CERE,1,400
2000,TAKTL,CERE,2,Inf
2000,TAKTL,FODD,1,100
2000,TAKTL,FODD,2,250
2000,TAKTL,FODD,3,400
2000,TAKTL,FODD,4,Inf
2000,TAKTL,FRUK,1,30
2000,TAKTL,FRUK,2,60
2000,TAKTL,FRUK,3,Inf
2000,TAKTL,BAER,1,30
2000,TAKTL,BAER,2,60
2000,TAKTL,BAER,3,Inf
2000,TAKTL,GRON,1,30
2000,TAKTL,GRON,2,60
2000,TAKTL,GRON,3,Inf
2000,TDISG,001,1,40000
2000,TDISG,001,2,Inf
2000,TDISG,002,1,40000
2000,TDISG,002,2,Inf
2000,TDISG,003,1,40000
2000,TDISG,003,2,Inf
2000,TDISG,004,1,40000
2000,TDISG,004,2,Inf
2000,TDISG,005,1,40000
2000,TDISG,005,2,Inf
2000,TDISG,011,1,20000
2000,TDISG,011,2,Inf
2000,TDISG,012,1,20000
2000,TDISG,012,2,Inf
2000,TDISG,013,1,20000
2000,TDISG,013,2,Inf
2000,TDISG,014,1,20000
2000,TDISG,014,2,Inf
2000,TDISG,016,1,20000
2000,TDISG,016,2,Inf
2000,TDISG,021,1,20000
2000,TDISG,021,2,Inf
2000,TDISG,031,1,75000
2000,TDISG,031,2,Inf
2000,TDISG,032,1,110000
2000,TDISG,032,2,Inf
2000,TDISG,033,1,160000
2000,TDISG,033,2,Inf
2000,TDISG,060,1,Inf
2000,TDMLK,120,1,5
2000,TDMLK,120,2,Inf
2000,TDMLK,140,1,27
2000,TDMLK,140,2,Inf
2000,TPROD,120,1,8
2000,TPROD,120,2,16
2000,TPROD,120,3,25
2000,TPROD,120,4,40
2000,TPROD,120,5,Inf
2000,TPROD,121,1,16
2000,TPROD,121,2,25
2000,TPROD,121,3,50
2000,TPROD,121,4,100
2000,TPROD,121,5,Inf
2000,TPROD,140,1,40
2000,TPROD,140,2,125
2000,TPROD,140,3,200
2000,TPROD,140,4,Inf
2000,TPROD,142,1,50
2000,TPROD,142,2,100
2000,TPROD,142,3,250
2000,TPROD,142,4,400
2000,TPROD,142,5,Inf
2000,TPROD,155,1,25
2000,TPROD,155,2,Inf
2000,TPROD,157,1,250
2000,TPROD,157,2,Inf
2000,TPROD,160,1,1
2000,TPROD,160,2,Inf
2000,TPROD,STOR,1,25
2000,TPROD,STOR,2,140
2000,TPROD,STOR,3,200
2000,TPROD,STOR,4,Inf
2000,TPROD,SAU,1,50
2000,TPROD,SAU,2,100
2000,TPROD,SAU,3,250
2000,TPROD,SAU,4,400
2000,TPROD,SAU,5,Inf
2000,TUTMK,410,1,Inf
2000,TUTMK,420,1,Inf
2000,TUTMK,440,1,100
2000,TUTMK,440,2,Inf
2000,TUTMK,450,1,Inf
2000,TUTMK,USAU,1,100
2000,TUTMK,USAU,2,Inf
2000,TVELF,120,1,8
2000,TVELF,120,2,Inf
2000,TVELF,121,1,100
2000,TVELF,121,2,Inf
2000,TVELF,140,1,40
2000,TVELF,140,2,Inf
2000,TVELF,142,1,100
2000,TVELF,142,2,Inf
2000,TVELF,155,1,15
2000,TVELF,155,2,Inf
2000,TVELF,157,1,200
2000,TVELF,157,2,Inf
2000,TVELF,160,1,1000
2000,TVELF,160,2,Inf
2000,TVELF,186,1,17500
2000,TVELF,186,2,Inf
2000,TVELF,STOR,1,25
2000,TVELF,STOR,2,Inf
2000,TVELF,HEST,1,Inf
2000,TVELF,VSAU,1,100
2000,TVELF,VSAU,2,Inf
2001,TAKTL,230,1,60
2001,TAKTL,230,2,Inf
2001,TAKTL,CERE,1,400
2001,TAKTL,CERE,2,Inf
2001,TAKTL,FODD,1,200
2001,TAKTL,FODD,2,400
2001,TAKTL,FODD,3,Inf
2001,TAKTL,FRUK,1,30
2001,TAKTL,FRUK,2,Inf
2001,TAKTL,BAER,1,30
2001,TAKTL,BAER,2,Inf
2001,TAKTL,GRON,1,30
2001,TAKTL,GRON,2,60
2001,TAKTL,GRON,3,Inf
2001,TDISG,001,1,40000
2001,TDISG,001,2,Inf
2001,TDISG,002,1,40000
2001,TDISG,002,2,Inf
2001,TDISG,003,1,40000
2001,TDISG,003,2,Inf
2001,TDISG,004,1,40000
2001,TDISG,004,2,Inf
2001,TDISG,005,1,40000
2001,TDISG,005,2,Inf
2001,TDISG,011,1,20000
2001,TDISG,011,2,Inf
2001,TDISG,012,1,20000
2001,TDISG,012,2,Inf
2001,TDISG,013,1,20000
2001,TDISG,013,2,Inf
2001,TDISG,014,1,20000
2001,TDISG,014,2,Inf
2001,TDISG,016,1,20000
2001,TDISG,016,2,Inf
2001,TDISG,021,1,20000
2001,TDISG,021,2,Inf
2001,TDISG,031,1,75000
2001,TDISG,031,2,Inf
2001,TDISG,032,1,110000
2001,TDISG,032,2,Inf
2001,TDISG,033,1,160000
